date,store,rate,model,machine_no,total_game,big,reg,at_art,combined_rate,at_art_rate,last_game,max_payout,graph_trend,source,note
2026-06-14,メガフェイス座間,21.7スロ,L北斗 転生の章2,0744,7844,0,12,98,1/71.4,1/80.1,1,14645,,line,
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0744,,,,2,,,,,,line_history,bonus_today=2;bonus_1d=110;bonus_2d=45
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0745,,,,6,,,,,,line_history,bonus_today=6;bonus_1d=12;bonus_2d=27
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0746,1253,0,2,10,1/104.5,1/125.3,254,1106,,line_detail,detail_from_machine_graph
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0747,,,,34,,,,,,line_history,bonus_today=34;bonus_1d=29;bonus_2d=43
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0748,,,,3,,,,,,line_history,bonus_today=3;bonus_1d=37;bonus_2d=76
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0749,,,,93,,,,,,line_history,bonus_today=93;bonus_1d=35;bonus_2d=84
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0750,,,,11,,,,,,line_history,bonus_today=11;bonus_1d=27;bonus_2d=57
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0751,,,,6,,,,,,line_history,bonus_today=6;bonus_1d=34;bonus_2d=42
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0752,,,,83,,,,,,line_history,bonus_today=83;bonus_1d=4;bonus_2d=10
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0753,,,,43,,,,,,line_history,bonus_today=43;bonus_1d=19;bonus_2d=21
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0754,,,,16,,,,,,line_history,bonus_today=16;bonus_1d=48;bonus_2d=87
2026-06-15,メガフェイス座間,21.7スロ,L北斗 転生の章2,0755,,,,16,,,,,,line_history,bonus_today=16;bonus_1d=9;bonus_2d=27
