date,store,model,total_diff,avg_diff,avg_g,win_rate
2026-04-10,鶴見UNO,東京喰種,"+23,793","+2,379","9,450",90.0%(9/10)
2026-04-10,鶴見UNO,北斗の拳 転生の章2,"+20,299","+1,450","9,071",42.9%(6/14)
2026-04-10,鶴見UNO,無職転生 ～異世界行ったら本気だす～,"+13,235","+4,412","8,681",66.7%(2/3)
2026-04-10,鶴見UNO,ジャグラーガールズSS,"+10,271","+1,712","7,796",83.3%(5/6)
2026-04-10,鶴見UNO,ハッピージャグラーVIII,"+9,361","+1,560","9,042",83.3%(5/6)
2026-04-10,鶴見UNO,化物語,"+5,835",+834,"7,195",57.1%(4/7)
2026-04-10,鶴見UNO,アズールレーン THE ANIMATION,"+5,183","+1,728","4,364",66.7%(2/3)
2026-04-10,鶴見UNO,マギアレコード 魔法少女まどか☆マギカ外伝,"+2,525",+361,"3,290",42.9%(3/7)
2026-04-10,鶴見UNO,アレックス ブライト,"+1,765",+882,"5,170",50.0%(1/2)
2026-04-10,鶴見UNO,戦国乙女4 戦乱に閃く炯眼の軍師,"+1,581",+395,"5,944",75.0%(3/4)
2026-04-10,鶴見UNO,モンキーターンV,+727,+52,"5,805",50.0%(7/14)
2026-04-10,鶴見UNO,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,+561,+280,"7,476",50.0%(1/2)
2026-04-10,マルハン都築,スマスロ炎炎ノ消防隊2,"+11,700","+1,170","5,200",50.0%(5/10)
2026-04-10,マルハン都築,無職転生 ～異世界行ったら本気だす～,"+11,600","+3,867","2,287",33.3%(1/3)
2026-04-10,マルハン都築,主役は銭形5,"+7,800","+3,900","1,712",50.0%(1/2)
2026-04-10,マルハン都築,ToLOVEるダークネス TRANCE ver.8.7,"+6,200","+3,100","3,610",100.0%(2/2)
2026-04-10,マルハン都築,東京喰種,"+5,900",+246,"4,631",50.0%(12/24)
2026-04-10,マルハン都築,ファンキージャグラー2,"+5,100","+1,700","7,243",66.7%(2/3)
2026-04-10,マルハン都築,吉宗,"+3,300","+1,650","3,044",50.0%(1/2)
2026-04-10,マルハン都築,スーパーブラックジャック,"+3,000","+1,000","1,896",66.7%(2/3)
2026-04-10,マルハン都築,アズールレーン THE ANIMATION,"+2,900",+725,"2,125",50.0%(2/4)
2026-04-10,マルハン都築,鉄拳6,"+1,500",+150,"2,424",40.0%(4/10)
2026-04-10,マルハン都築,ミスタージャグラー,"+1,400",+350,"2,751",100.0%(4/4)
2026-04-10,マルハン都築,SHAKE BONUS TRIGGER,"+1,400",+700,"3,318",50.0%(1/2)
